Adam Cheyer
Alan Fern
Alekh Agarwal
Alessandro Epasto
Alex Beutel
Alina Beygelzimer
Alon Orlitsky
Amir Globerson
Amr Ahmed
Ananda Suresh
Anders Jonsson
Andreas Herzig
Anshumali Shrivastava
Asuman Ozdaglar
Aviv Tamar
Ayanna Howard
Balaji Krishnapuram
Barbara Grosz
Bin Yu
Bryan Hooi
Carlos Guestrin
Chandra Chekuri
Chengqi Zhang
Chinmay Hegde
Chris J.C. Burges
Claire Monteleoni
Claire Tomlin
Claudia Perlich
Corinna Cortes
Craig A. Knoblock
Cristiano Castelfranchi
Cynthia Breazeal
Cynthia Dwork
Dan Doctoroff
Dan Klein
Daniel D Lee
Daniel Spielman
David Lehavi
David McAllester
David Silver
David W. Aha
Deborah L. McGuinness
Demis Hassabis
Dmitri Dolgov
J. Andrew Bagnell
Drew Purves
Elias Bareinboim
Eric Horvitz
Eric Schadt
Erik Brynjolfsson
Fahiem Bacchus
Flavio Chierichetti
Florian Pommerening
Gabriele Röger
Garrett Thomas
Georg Gottlob
Gerhard Brewka
Greg Papadopoulos
Haim Sompolinsky
Haipeng Luo
Hal Varian
Hila Nachliely
Hongyuan Zha
Hugh Durrant-Whyte
Hyun Ah Song
Irina Rish
James A. Hendler
James DiCarlo
Janardhan Rao Doppa
Javier Segovia
Jeff Bilmes
Jendrik Seipp
Jennifer Chayes
Jeremy Frank
Jian Tang
Jin Tian
Joe Hellerstein
Joelle Pineau
John Langford
Jonathan Gratch
Katrina Ligett
Kevin Leyton-Brown
Kijung Shin
Kristen Grauman
Kristin P. Bennett
Kyle Cranmer 
Larry Birnbaum
Lawrence Hunter
Léon Bottou
Lise Getoor
Longbing Cao
Ludwig Schmid
Lynne Parker
Malte Helmert
Manuel Gomez-Rodriguez
Manuela Veloso
Marc Raibert
Marti Hearst
Max Welling
Meinolf Sellmann
Michael Kearns
Michael Littman
Michael Wooldridge
Ming Zhang
Mitsuo Kawato
Mohak Shah
Nan Du
Nando de Freitas
Naveen Rao
Neil D Lawrence
Neil Shah
Nestor Rychtyckyj
Nick Bostrom
Oren Etzioni
Pascal Van Hentenryck
Paula Matuszek
Piotr Indyk
Prasad Tadepalli
Qiaozhu Mei
Ramasamy Uthurusamy
Raymond Mooney
Reid G. Smith
Renee Miller
Richard Wilkinson
Rishabh Iyer
Rob Fergus
Robert Grossman
Robert Holte
Roi Livni
Rolf Pfeifer
Ron Kaplan
Ronny Kohavi
Rosalind Picard
Russ Tedrake
Sagi Schein
Saket Navlakha 
Santosh Vempala
Satyen Kale
Sendhil Mullainathan
Sergey Levine
Sergio Jimenez
Sheila Mcllraith
Shipeng Yu
Silvio Lattanzi
Sofus Macskassy
Stan Matwin
Stefanie Jegelka
Stephen Wright
Steve Young
Steven Phillips
Subhaneil Lahiri
Sujith Ravi
Surya Ganguli
Susan Athey
Susan Holmes
Susan Murphy
Thad Starner
Thomas Dietterich
Thomas Richardson
Tony Jebara
Ugo Pagallo
Ulrike von Luxburg
Usama Fayyad
Vahab Mirrokni
Vasilis Syrgkanis
Vijay Kumar
Vincent Vanhoucke
Wei Li
Whitfield Diffie
Wolfram Burgard
Xuanlong Nguyen
Yi Wu
Zhaoshi Meng
Jack Gallant
